Global rank,Global rank preyear,Company,Country,Sector,Market value $m,Turnover $m,Net income $m,Total assets $m,Employees,Price $,P/e ratio,Dividend yield (%),Year End ,Country code,Sector code
319,349,Hang Seng Bank,Hong Kong,Banks,34646.2,N/R,1951.5,163016.8,10192,18.1,17.8,4,12/31/2014,3,4
320,293,Christian Dior,France,Personal goods,34300.7,42443.7,1952.1,82303.9,117806,188.7,17.3,2.2,6/30/2014,8,20
321,,Haitong Securities,China,Financial services,34191,N/R,1242.4,56726.7,7464,2.4,18.7,1.6,12/31/2014,1,17
322,,China Everbright Bank,China,Banks,34156.4,N/R,4653.9,440525.6,39015,0.6,5.5,5.4,12/31/2014,1,4
323,318,Yum! Brands,US,Travel & leisure,34116.8,13279,1051,7774,537000,78.7,33.9,2,12/27/2014,0,27
324,369,Public Storage,US,Real estate investment trusts,34058.1,N/R,1140.8,9818.7,5300,197.1,37.6,2.8,12/31/2014,0,28
325,327,Ecolab,US,Chemicals,34010.9,14280.5,1202.8,19395.2,47000,114.4,29.1,1,12/31/2014,0,18
326,,Sun Pharmaceutical Industries,India,Pharmaceuticals & biotechnology,33886.6,2679,523.4,4695.5,14000,16.4,65.4,0.2,3/31/2014,18,5
327,,China Railway Construction,China,Construction & materials,33870.3,92974.6,1827.7,99063,249624,1.5,10,1.3,12/31/2014,1,35
328,253,Imperial Oil,Canada,Oil & gas producers,33829.8,30015.7,3257.3,35137.9,5500,39.9,10.3,1.1,12/31/2014,17,1
329,222,Vinci,France,Construction & materials,33764,47210.4,3006.1,75906.9,185300,57.2,10.6,3.7,12/31/2014,8,35
330,434,Brookfield Asset Management,Canada,Financial services,33761.2,N/R,2965.1,128065.6,30000,53.5,11.7,1.2,12/31/2014,17,17
331,334,General Mills,US,Food producers,33738.7,17909.6,1824.4,23145.7,43000,56.6,20,2.7,5/25/2014,0,9
332,353,Norfolk Southern,US,Industrial transportation,33618.3,11624,1994,33241,29482,102.9,16.1,2.2,12/31/2014,0,26
333,273,Vivendi,France,Media,33604.3,12199.5,5736.4,42355.5,15000,24.8,5.8,4.9,12/31/2014,8,15
334,342,Raytheon,US,Aerospace & defence,33575,22826,2244,26669,61000,109.3,15.2,2.2,12/31/2014,0,25
335,237,Canadian Natural Resources,Canada,Oil & gas producers,33486.8,16233.3,3381.3,51807.5,7657,30.7,9.9,2.5,12/31/2014,17,1
336,292,Saudi Telecom,Saudi Arabia,Fixed line telecommunications,33467.3,12213.5,2920.9,24218.5,,16.7,11.5,5.6,12/31/2014,20,13
337,487,Cigna,US,Health care equipment & services,33462.6,34950,2102,55603,37200,129.4,16.5,0,12/31/2014,0,23
338,288,Manulife Financial,Canada,Life insurance,33457.5,N/R,3012.9,479823.7,,17,10.8,2.9,12/31/2014,17,16
339,152,Sands China,Hong Kong,Travel & leisure,33405,9507.5,2548.3,11323.7,,4.1,12.9,6.3,12/31/2014,3,27
340,441,Keyence,Japan,Electronic & electrical equipment,33259.2,2568,832.4,8352.7,2038,547,39.8,0.1,3/20/2014,4,34
341,286,Hitachi,Japan,Electronic & electrical equipment,33178.3,93181,2567.6,106753.8,320725,6.9,12.9,1.5,3/31/2014,4,34
342,337,Johnson Controls,US,Automobiles & parts,33153.9,42828,1215,32804,168000,50.4,28,1.7,9/30/2014,0,10
343,,China CNR,China,Industrial engineering,33135.7,16738.4,885,23908.1,86762,1.4,18,,12/31/2014,1,31
344,280,Associated British Foods,UK,Food producers,33118.2,21500,1265.8,17142.9,118209,41.8,26.1,1.3,9/13/2014,7,9
345,481,Housing Development Finance,India,Financial services,33106.2,N/R,1321.9,49408.8,1956,21,24.7,1.1,3/31/2014,18,17
346,341,CSL,Australia,Pharmaceuticals & biotechnology,33081.3,5702.4,1349.1,5978.6,12196,70.4,25.2,1.7,6/30/2014,13,5
347,368,CSX,US,Industrial transportation,32841.5,12669,1926,33053,32000,33.1,17.3,1.9,12/26/2014,0,26
348,347,Mitsubishi,Japan,Support services,32778.7,73984.8,3501.6,153637.9,68383,20.2,9.5,3.3,3/31/2014,4,29
349,385,Valero Energy,US,Oil & gas producers,32702.5,130844,3628,45550,10065,63.6,9.3,1.7,12/31/2014,0,1
350,374,Bridgestone,Japan,Automobiles & parts,32652.9,30677.6,2509.9,32318.1,144632,40.2,12.6,2.1,12/31/2014,4,10
